Cretlog;1;2;3;4;5;6;7;8
-2;7.21767937032289E-06;6.18658231741962E-06;8.083500076146E-05;3.91255448410109E-05;2.88707174812915E-05;6.28407770577861E-05;7.21767937032289E-06;0.001347491715122
-1.9;1.23731646348392E-05;1.03109705290327E-05;9.83075074915023E-05;5.04114692536335E-05;3.19640086400013E-05;8.54687690523448E-05;1.23731646348392E-05;0.001671947343145
-1.8;1.64975528464523E-05;1.23731646348392E-05;0.000124321843386;6.26723475498462E-05;3.71194939045177E-05;0.000107121807163;1.64975528464523E-05;0.002111629801481
-1.7;2.06219410580654E-05;1.5466455793549E-05;0.000152248452805;8.11198081634784E-05;4.43371732748406E-05;0.000144241301068;2.26841351638719E-05;0.002624788959296
-1.6;2.6808523375485E-05;2.06219410580654E-05;0.000190486032753;0.000112289629322;4.84615614864536E-05;0.000178155217475;2.57774263225817E-05;0.003253488243607
-1.5;3.09329115870981E-05;2.99018145341948E-05;0.000244310600172;0.000134408241237;5.98036290683896E-05;0.000220317910305;3.29951056929046E-05;0.003970500191995
-1.4;4.2274979169034E-05;4.12438821161307E-05;0.000307489407451;0.000166032756224;7.1033410311699E-05;0.000264145703501;3.60883968516144E-05;0.00491357059317
-1.3;5.25859496980667E-05;5.25859496980667E-05;0.000381142604743;0.000203712539869;9.05681111475479E-05;0.000324073955802;4.43371732748406E-05;0.006027730163795
-1.2;6.28407770577861E-05;7.32078907561322E-05;0.000458712347189;0.000259197819843;0.000118127015729;0.000409205865839;5.76852917932698E-05;0.007384867803309
-1.1;8.8618203380368E-05;9.27987347612944E-05;0.000572374898891;0.000328332261246;0.000141786104777;0.000509662556427;7.10895534810123E-05;0.009044362804483
-1;0.000116401680639;0.000118576161084;0.000716092948994;0.000416306323469;0.000177593785782;0.000624019928328;8.96493004332712E-05;0.010930613667774
-0.9;0.00014407287156;0.000144297444237;0.000894969818687;0.000523898937426;0.000222569053924;0.000777554610971;0.000119438828629;0.013106518537584
-0.8;0.000179074028189;0.000185541326353;0.001078479611345;0.000629578796931;0.000278429061184;0.000977672662713;0.000148253402941;0.015621227514002
-0.7;0.000219230670083;0.000224554584856;0.001349992334666;0.000769218850778;0.000359272307284;0.001239819834776;0.000191278763316;0.018553880787492
-0.6;0.000272623144157;0.000287395361913;0.00165871413669;0.000926915978201;0.000447277089585;0.001531934448482;0.000232354215924;0.021887908352613
-0.5;0.000332780060691;0.000362609303606;0.002011048549692;0.001116487388344;0.000560921714523;0.001961334891052;0.000288442887416;0.025615966752239
-0.4;0.00041511173231;0.000455351895198;0.002423065084388;0.001355783377118;0.000692820913748;0.002421019920084;0.000353867575553;0.029735309578832
-0.3;0.000536809949896;0.000558405457319;0.002928519971351;0.0016431676138;0.000837186965758;0.00296900704599;0.000459008005569;0.034278600272247
-0.2;0.000668151654241;0.000693888601884;0.003568783025673;0.001974684590356;0.001044084674461;0.003716634819282;0.000576496302871;0.039195127247329
-0.1;0.000843281017125;0.000897272150883;0.004295540443852;0.002372963039433;0.001310025099435;0.00454785463472;0.000726089044109;0.044598963502472
0;0.001064465440165;0.001104495280692;0.005124782543749;0.002861241851737;0.001650804204618;0.00555028206538;0.000890229626876;0.050427777965594
0.1;0.001322874241329;0.00138767448806;0.006083608730389;0.003413289565227;0.002020800837408;0.006794857081708;0.001116468424383;0.056744391390308
0.2;0.001663333749534;0.001743543337207;0.007163711464856;0.004052363672255;0.002496688483549;0.0081699159496;0.001393494769465;0.063374795835222
0.3;0.002044497923742;0.002208838645669;0.008388391239398;0.004782245514599;0.003049331857714;0.009839801284697;0.001756462039129;0.070535117288357
0.4;0.002535155813552;0.002753053619622;0.009769081207448;0.005631575382494;0.00369542212283;0.011769648851653;0.00219036414533;0.078094049418595
0.5;0.003147121105255;0.003468876502253;0.011378251544001;0.006563033826304;0.004512523241958;0.013965239740114;0.002650465753446;0.085999897707053
0.6;0.003867598899556;0.004318781714119;0.013103374019092;0.007647685804018;0.005415457875915;0.016382455900553;0.003225765993908;0.094276122135224
0.7;0.004693111177868;0.005395373413828;0.015069864729998;0.008816443857189;0.00649586657197;0.019126043305212;0.003953738288567;0.102955276644219
0.8;0.005778117741089;0.006669729455035;0.017203194088342;0.010151763383529;0.007718617339095;0.02220902285889;0.004764394157891;0.111970810322411
0.9;0.007020133719165;0.008404407159318;0.01955795667069;0.011627144979813;0.00906193808351;0.0256148460792;0.005770398708963;0.121333391474453
1;0.008521401137644;0.010419370457644;0.022118522855487;0.01320693746462;0.010616951276407;0.029222800845902;0.006856262625485;0.130969670324061
1.1;0.010197791686299;0.012917417671535;0.024818617958799;0.014920507120333;0.01233875613167;0.033261378152653;0.008149400963209;0.140940036133248
1.2;0.012152695501486;0.015768289019817;0.027806729015574;0.016772163989916;0.014308740413938;0.037540013008088;0.009509932080403;0.151075747901379
1.3;0.01438232861717;0.019371767919878;0.031018740049726;0.018753193829541;0.016369944483377;0.042080585754411;0.011117079037677;0.161538512382999
1.4;0.016934310033045;0.023540360693397;0.034485564068774;0.020835707868384;0.018692644425824;0.046883910620203;0.012880978165776;0.172236408923054
1.5;0.019854686940897;0.028422899526967;0.038150989865742;0.023029287748371;0.021274358884428;0.051902304954572;0.014846636365954;0.18294030893364
1.6;0.023103049760448;0.034140081969806;0.042042226260374;0.025320035745484;0.024069058928811;0.057184908695433;0.016941013631335;0.193748113308837
1.7;0.026674300568813;0.040530837257294;0.046212649567716;0.027725611771166;0.027110822384868;0.062624309391202;0.019224174205602;0.204609677965713
