Cretlog;1;2;3;4;5;6;7;8
-2;0.000165979123859;0.000275625494603;0.001156017800256;0.000831142760803;0.000373453028683;0.001099611695567;0.000269716076271;0.024426362764595
-1.9;0.000228221295306;0.000275625494603;0.001404986486045;0.000894816603623;0.000477189981095;0.001576801676663;0.000290463466754;0.029890157138404
-1.8;0.000290463466754;0.000358615056532;0.001831753132356;0.001075141914457;0.000560179543025;0.002012496876793;0.000311210857236;0.03674990497922
-1.7;0.000394200419166;0.000441604618462;0.002216203427034;0.001435728414396;0.000684663885919;0.002537091057185;0.000352705638201;0.044216123422007
-1.6;0.000456442590613;0.000566088961356;0.002895031246195;0.001864093044771;0.000892137790743;0.003212826389285;0.00043569520013;0.053434680455066
-1.5;0.000580926933507;0.000711320694733;0.003503022885004;0.002358136194582;0.001188510675829;0.004211591415284;0.000622421714472;0.063936683227241
-1.4;0.000809148228814;0.000794310256663;0.00443823238371;0.002682308928735;0.001437479361617;0.005065124707906;0.000726158666884;0.076502880404795
-1.3;0.001058116914603;0.001022531551969;0.005611677658706;0.003149407514357;0.001692357465738;0.006226849722277;0.000995874743155;0.089814266452588
-1.2;0.001369327771839;0.001292247628241;0.006985060315889;0.003759521666088;0.0021339620842;0.008120918377654;0.001161853867015;0.10538760807348
-1.1;0.00172203341004;0.001541216314029;0.008467643436915;0.004668331583342;0.002794859444149;0.010320232970864;0.0014582267521;0.121731225713139
-1;0.002205132809466;0.002080648466572;0.010235361714316;0.005704696593917;0.0034854327484;0.012319978438184;0.001956164123678;0.141236968066666
-0.9;0.002625990037446;0.002516343666702;0.012462193529444;0.007156642399323;0.004315401719269;0.014761190405575;0.002371111933326;0.161860773614522
-0.8;0.003109089436873;0.003470723628893;0.015106051787088;0.00885737171244;0.005314037892624;0.018470509832232;0.002901615532049;0.183313989864276
-0.7;0.003989279538309;0.004383608810119;0.017720851013273;0.010708649513125;0.006816520855889;0.022736756669471;0.003535856083184;0.206920439977381
-0.6;0.00501772050861;0.00569069441051;0.021437105291056;0.013363266821079;0.008357209005542;0.02688929795797;0.004238321575671;0.230883679983005
-0.5;0.006229868857765;0.007338537959795;0.025904117688752;0.015815619632724;0.010102971290984;0.032343481213538;0.00527254311166;0.256744830130499
-0.4;0.008135554145588;0.009131815446675;0.030183684996045;0.018935194739468;0.012568859069035;0.038600998676942;0.006626904058704;0.283096121025837
-0.3;0.009849154612317;0.011387242738281;0.035792199577151;0.022452735776852;0.015353944419585;0.046397987144638;0.007986499556557;0.309062172687682
-0.2;0.012057066702486;0.013835305962561;0.042810012757433;0.026113457524914;0.018701778988278;0.055609883017313;0.010008162892391;0.336869279196007
-0.1;0.014536437620942;0.017059822335865;0.049779306198399;0.030967311535099;0.022075560706673;0.065600779755513;0.012843172655314;0.364902007247794
0;0.017877522166744;0.020924690882853;0.058183838685806;0.035707623481769;0.026567859711849;0.076875057201235;0.01606464923592;0.393855360605334
0.1;0.021794258978884;0.026425326437176;0.06658499018748;0.040964035578527;0.031512973761939;0.089101489942191;0.019393635989387;0.422317143842746
0.2;0.026933750672763;0.033470215291517;0.075618454944536;0.046571395247796;0.037073175971312;0.102466977477976;0.023312276379613;0.450766820331493
0.3;0.032728045134238;0.041074227360132;0.085775788952322;0.052582945784186;0.043927097309989;0.116711959094467;0.027720451301123;0.480895964721501
0.4;0.040290709667415;0.050795894395005;0.096508560633283;0.059446284404867;0.050729536729616;0.133285741490379;0.033333445824677;0.51008268769416
0.5;0.048409612465973;0.06303327273002;0.107858997325391;0.066715113701382;0.057710051695211;0.149420612055131;0.039309609751141;0.539250338979181
0.6;0.057616494200797;0.077139084217053;0.120141074350836;0.074378319539485;0.066010227788659;0.167409079773555;0.045841522893819;0.568928760994343
0.7;0.067478029615638;0.093530284407333;0.133077131604298;0.082251076965802;0.074968318017257;0.185982478705896;0.053339338205235;0.597026655994425
0.8;0.079071510464572;0.113562002009891;0.145883053106208;0.090202422372073;0.085078500044897;0.204117352166375;0.061330090452293;0.625259159715365
0.9;0.091405857731704;0.136875544450937;0.159704392928897;0.098407599114494;0.095882716015311;0.222877533213146;0.069913295511891;0.65291951020318
1;0.105860583596385;0.163912592593793;0.174040220824988;0.10640493443776;0.107051818792586;0.241801819238019;0.079530582065266;0.679173280198384
1.1;0.122037167339322;0.194062476004941;0.18964744740161;0.114613913752233;0.11927047462631;0.259601765825257;0.088832003115383;0.704405897876407
1.2;0.139776601717302;0.228134251435774;0.204576909520311;0.123276809692104;0.132171791397036;0.278170943904973;0.098839803516333;0.728165413287719
1.3;0.158761023275444;0.264444223912024;0.220650440499567;0.13157355282341;0.146754499590824;0.295716435765024;0.1091485908192;0.751278588210971
1.4;0.178205490621664;0.303773836564287;0.237304937241575;0.139677563860022;0.161806614678046;0.313170801017399;0.119584718534885;0.773719015614337
1.5;0.200538218956274;0.345551253363087;0.254323364259959;0.147538172421603;0.177489306697334;0.329510275770587;0.130220808208888;0.793092982151822
1.6;0.223066116369443;0.388781261403228;0.271317318206028;0.155227403946548;0.194064384796849;0.345023581213302;0.140383294982812;0.811254498497553
1.7;0.246261822510155;0.431458332706157;0.289370123894097;0.16195191346551;0.212687165568001;0.360003409886145;0.150873440838302;0.827580275970381
1.8;0.270072008974512;0.475481642438556;0.308105915874029;0.168967803038113;0.23224471947081;0.374590376301043;0.161790912857393;0.842915923262985
1.9;0.296710992642035;0.518438573344384;0.326439569157917;0.175441930816748;0.253078191893399;0.38803574608032;0.172319239921622;0.856801597092296
